The Police,Reino Unido,1977-1986,1978,Pop/ rock,Ventas estimadas: 80 millones;
Van Halen,Estados Unidos,1978-2020,1978,Hard rock/ heavy metal,Ventas estimadas: 80 millones;
Alabama,Estados Unidos,1972-presente,1980,Country/ pop rock;,Ventas estimadas: 75 millones
Gloria Estefan, ,1980–presente,1980,Pop latino/ pop/ dance/ pop rock/ Salsa/ adult contemporary,Ventas estimadas: 75 millones;
Ayumi Hamasaki,Japón,1998-presente,1998,J-pop/ dance/ electrónica/ pop,Ventas estimadas: 75 millones;
Barry Manilow,Estados Unidos,1973-presente,1973,Pop/ soft rock,Ventas estimadas: 75 millones;
Carole King,Estados Unidos,1962-presente,1962,Folk Rock/ Pop /Soft rock/ Jazz,Ventas estimadas: 75 millones;
Enya,Irlanda,1982-presente,1987,New age/ celta,Ventas estimadas: 75 millones;
Journey;,Estados Unidos,1973-presente,1975,Rock/ soft rock,Ventas estimadas: 75 millones
Kenny G,Estados Unidos;,1982-presente,1984,Smooth jazz,Ventas estimadas: 75 millones
Meat Loaf,Estados Unidos,1968-presente,1977,Hard rock,Ventas estimadas: 75 millones;
Robbie Williams;,Reino Unido,1990-presente,1996,Pop rock,Ventas estimadas: 75 millones
The Black Eyed Peas,Estados Unidos,1995-presente,1998,Hip hop/ R&B/ dance,Ventas estimadas: 75 millones;
Usher,Estados Unidos,1991-presente,1994,R&B/ pop,Ventas estimadas: 75 millones;
